,age_0,city_0,city_1,city_2,city_3,city_4,city_5,sex_0,sex_1,sex_2
0,28.72140608604407,0,0,0,1906,0,0,0,1025,881
1,28.61159420289855,328,106,73,200,449,224,0,735,645
2,29.05518018018018,253,65,43,104,279,144,0,473,415
3,27.763636363636362,0,0,0,440,0,0,0,240,200
4,44.760840108401084,405,106,78,181,444,262,1,903,572
5,30.628504672897197,0,0,0,0,292,564,0,437,419
6,44.76190476190476,104,19,23,52,85,53,0,202,134
7,28.571428571428573,193,46,13,80,195,89,1,340,275
8,32.14462809917355,122,61,42,73,134,52,2,269,213
9,29.09567901234568,0,0,0,972,0,0,0,520,452
10,28.734444444444446,316,46,42,107,237,152,1,456,443
11,28.8046875,171,64,28,79,189,109,0,323,317
12,89.68429487179488,195,44,44,64,154,123,2,326,296
13,29.33116883116883,94,16,15,44,85,54,1,148,159
14,27.06367924528302,194,72,33,118,285,146,1,412,435
15,25.52843137254902,1020,0,0,0,0,0,3,509,508
16,28.744505494505493,214,61,37,90,201,125,1,379,348
17,33.10180722891566,341,291,173,234,440,181,2,972,686
18,14.441810344827585,455,41,11,75,217,129,1,515,412
19,26.997448979591837,92,35,17,57,119,72,1,175,216
20,29.04451219512195,511,111,73,191,472,282,3,849,788
21,14.42536231884058,683,52,30,118,288,209,1,762,617
22,14.416847826086956,925,77,22,153,396,267,1,1022,817
23,14.426401869158878,428,37,15,76,172,128,1,466,389
24,17.072115384615383,480,83,26,145,329,185,0,622,626
25,28.604430379746834,102,18,11,41,85,59,1,155,160
26,29.402830188679246,636,161,81,251,650,341,2,1101,1017
27,17.037190082644628,189,38,15,41,119,82,0,251,233
28,29.537393162393162,289,65,43,123,288,128,1,491,444
29,20.323170731707318,114,20,14,43,93,44,2,158,168
30,44.752966101694916,636,160,139,287,706,432,1,1451,908
31,33.18804347826087,393,301,209,281,458,198,4,1092,744
32,24.640625,290,11,14,64,195,130,2,365,337
33,27.016975308641975,164,50,25,84,218,107,1,295,352
